timestamp,open,high,low,close,volume,turnover
2025-07-24 07:17:00,3594.88,3601.43,3592.14,3594.51,239.1896,860162.1907061
2025-07-24 07:18:00,3594.51,3594.94,3584.85,3586.12,240.19033,861812.8679834
2025-07-24 07:19:00,3586.12,3591.26,3584.61,3587.55,215.48949,773142.4687508
2025-07-24 07:20:00,3587.55,3590.67,3587.46,3589.31,412.04161,1479138.7712348
2025-07-24 07:21:00,3589.31,3589.78,3585.94,3585.94,47.11367,169034.3030663
2025-07-24 07:22:00,3585.94,3586.87,3579.55,3579.55,130.06365,466084.0706067
2025-07-24 07:23:00,3579.55,3581.56,3578.4,3580.56,124.67633,446397.1637441
2025-07-24 07:24:00,3580.56,3584.28,3580.28,3581.87,96.07786,344239.7937891
2025-07-24 07:25:00,3581.87,3588.11,3580.59,3587.78,90.69721,325160.4615322
2025-07-24 07:26:00,3587.78,3587.83,3582.76,3582.82,49.56343,177691.1624823
2025-07-24 07:27:00,3582.82,3583.79,3576.0,3581.38,1043.42994,3733607.7448613
2025-07-24 07:28:00,3581.38,3583.23,3579.04,3579.04,137.3245,491827.4599374
2025-07-24 07:29:00,3579.04,3580.87,3578.62,3579.33,108.06087,386841.0590567
2025-07-24 07:30:00,3579.33,3579.67,3576.56,3578.9,66.71606,238743.8591641
2025-07-24 07:31:00,3578.9,3582.35,3578.81,3582.24,271.44109,971891.155854
2025-07-24 07:32:00,3582.24,3587.61,3579.76,3586.84,176.21437,631463.3501937
2025-07-24 07:33:00,3586.84,3587.56,3583.12,3585.44,52.32909,187647.8120542
2025-07-24 07:34:00,3585.44,3587.07,3584.21,3586.0,95.06256,340842.1207409
2025-07-24 07:35:00,3586.0,3587.22,3584.86,3586.15,91.89172,329535.6006508
2025-07-24 07:36:00,3586.15,3590.58,3586.15,3590.06,294.08711,1055514.6340259
2025-07-24 07:37:00,3590.06,3592.98,3586.24,3587.96,280.23918,1006385.8375383
2025-07-24 07:38:00,3587.96,3589.27,3582.14,3582.14,102.86052,368801.367357
2025-07-24 07:39:00,3582.14,3584.17,3580.94,3583.69,68.74401,246261.2243555
2025-07-24 07:40:00,3583.69,3591.33,3582.57,3590.91,217.37341,780003.494094
2025-07-24 07:41:00,3590.91,3594.64,3588.8,3594.08,787.77107,2830097.788087
2025-07-24 07:42:00,3594.08,3594.81,3587.18,3589.8,308.23599,1106707.319396
2025-07-24 07:43:00,3589.8,3593.01,3589.03,3593.01,31.63315,113596.8565514
2025-07-24 07:44:00,3593.01,3593.02,3589.82,3592.19,128.68761,462169.8680791
2025-07-24 07:45:00,3592.19,3592.38,3588.04,3588.04,40.54663,145580.4438014
2025-07-24 07:46:00,3588.04,3591.17,3587.98,3587.98,48.91799,175578.8455508
2025-07-24 07:47:00,3587.98,3588.09,3584.5,3587.64,95.01701,340785.2455551
2025-07-24 07:48:00,3587.64,3588.63,3582.42,3582.42,123.13904,441442.0902745
2025-07-24 07:49:00,3582.42,3582.67,3577.15,3581.25,2300.99076,8238620.5923103
2025-07-24 07:50:00,3581.25,3581.25,3570.45,3570.45,481.96611,1722808.2434387
2025-07-24 07:51:00,3570.45,3572.69,3564.3,3566.8,631.83706,2254703.8302317
2025-07-24 07:52:00,3566.8,3570.03,3565.94,3569.37,357.13812,1274423.044445
2025-07-24 07:53:00,3569.37,3571.38,3567.99,3569.71,135.0214,481971.3699187
2025-07-24 07:54:00,3569.71,3569.79,3566.44,3567.5,428.44834,1528702.6519435
2025-07-24 07:55:00,3567.5,3568.96,3561.94,3565.75,377.05779,1344153.9933871
2025-07-24 07:56:00,3565.75,3566.63,3561.38,3561.64,125.33615,446645.809164
2025-07-24 07:57:00,3561.64,3564.97,3556.03,3564.48,727.10419,2588758.3801625
2025-07-24 07:58:00,3564.48,3564.48,3557.1,3558.09,286.66429,1020844.327739
2025-07-24 07:59:00,3558.09,3561.83,3556.39,3556.7,676.77346,2409131.0227243
2025-07-24 08:00:00,3556.7,3562.33,3555.85,3561.12,200.24592,712715.4393744
2025-07-24 08:01:00,3561.12,3566.18,3561.12,3565.34,147.99803,527397.2096964
2025-07-24 08:02:00,3565.34,3566.76,3563.72,3566.76,162.44546,579205.3699324
