open_time,close_time,duration_minutes,side,entry_price,close_price,size,pnl,pnl_pct,risk_amount,reward_amount,reason,signal_type,month
2025-04-01 05:41:00,2025-04-01 14:10:00,509.0,BUY,1842.93,1851.8,0.27130710336258024,2.406494006826057,0.4812988013652114,4.393723581470786,13.181170744412357,Stop Loss,RSI_MFI,2025-04
2025-04-02 02:34:00,2025-04-02 09:27:00,413.0,SELL,1881.37,1881.37,0.26582773441712226,0.0,0.0,5.937754229515135,17.813262688545404,Opposite Signal,RSI_MFI,2025-04
2025-04-02 09:27:00,2025-04-02 13:30:00,243.0,BUY,1875.16,1854.32,0.26670808075062463,-5.558196402843056,-1.1113718296038815,5.109006653242815,15.327019959728446,Stop Loss,RSI_MFI,2025-04
2025-04-04 02:12:00,2025-04-04 08:18:00,366.0,SELL,1796.41,1826.59,0.27824517503253665,-8.397439382481911,-1.680017367972781,8.306188877330026,24.918566631990075,Stop Loss,RSI_MFI,2025-04
2025-04-04 18:05:00,2025-04-05 20:41:00,1596.0,BUY,1812.6,1768.53,0.2755282703911923,-12.142530876139828,-2.431314134392582,9.547881153865992,28.64364346159798,Stop Loss,RSI_MFI,2025-04
2025-04-06 08:42:00,2025-04-06 17:00:00,498.0,SELL,1789.57,1726.0,0.2787347890092414,17.71917053731746,3.5522499818392097,5.523924238366833,16.571772715100497,Take Profit,RSI_MFI,2025-04
2025-04-07 01:39:00,2025-04-07 03:44:00,125.0,BUY,1595.79,1527.2,0.31313730183428523,-21.4780875328136,-4.298184598224072,16.367357972711133,49.1020739181334,Stop Loss,RSI_MFI,2025-04
2025-04-07 04:04:00,2025-04-07 06:46:00,162.0,SELL,1551.62,1434.25,0.32135927000006015,37.717937519907025,7.564352096518472,10.173623905588938,30.520871716766813,Take Profit,RSI_MFI,2025-04
2025-04-11 02:42:00,2025-04-11 13:13:00,631.0,BUY,1538.96,1552.16,0.3252283148317621,4.293013755779275,0.8577220980402379,4.538496087814266,13.615488263442801,Stop Loss,RSI_MFI,2025-04
2025-04-11 14:42:00,2025-04-11 17:39:00,177.0,SELL,1555.63,1586.99,0.321881178738696,-10.094193765245473,-2.0159035246170296,8.342564672726324,25.02769401817897,Stop Loss,RSI_MFI,2025-04
2025-04-12 05:46:00,2025-04-12 08:14:00,148.0,BUY,1567.27,1603.01,0.3191685595928049,11.407084319846849,2.2803983997651973,3.6086314437521305,10.825894331256391,Take Profit,RSI_MFI,2025-04
2025-04-13 05:28:00,2025-04-13 09:48:00,260.0,SELL,1607.22,1625.77,0.3115899893038959,-5.779994301587255,-1.1541668222147532,5.775663200735956,17.326989602207867,Stop Loss,RSI_MFI,2025-04
2025-04-16 15:40:00,2025-04-16 17:46:00,126.0,BUY,1595.08,1573.24,0.31378028869644675,-6.852961505130371,-1.3692103217393434,5.941555278582721,17.82466583574816,Stop Loss,RSI_MFI,2025-04
2025-04-20 22:38:00,2025-04-21 00:19:00,101.0,SELL,1578.6,1597.92,0.31683898062756355,-6.1213291057245796,-1.2238692512352822,6.014554369253094,18.043663107759283,Stop Loss,RSI_MFI,2025-04
2025-04-23 01:43:00,2025-04-23 07:10:00,327.0,BUY,1769.6,1777.66,0.28246832525055693,2.2766947015195376,0.45547016274865354,9.109038552679909,27.327115658039727,Stop Loss,RSI_MFI,2025-04
2025-04-23 19:40:00,2025-04-24 14:50:00,1150.0,SELL,1782.88,1773.26,0.2804281741331225,2.6977190351606715,0.539576415686985,7.073632435603551,21.220897306810656,Stop Loss,RSI_MFI,2025-04
2025-04-24 18:30:00,2025-04-25 03:15:00,525.0,BUY,1759.08,1759.08,0.2842989909783634,0.0,0.0,6.361303642737244,19.083910928211733,Opposite Signal,RSI_MFI,2025-04
2025-04-25 03:15:00,2025-04-25 04:12:00,57.0,SELL,1748.35,1767.04,0.2860437950354446,-5.346158529212475,-1.0690079217548005,5.0949405662226015,15.284821698667804,Stop Loss,RSI_MFI,2025-04
2025-04-26 10:19:00,2025-04-26 11:50:00,91.0,BUY,1803.57,1782.1,0.2771377662767505,-5.950147841961841,-1.1904167844885436,5.725070405080122,17.175211215240367,Stop Loss,RSI_MFI,2025-04
2025-04-27 02:13:00,2025-04-27 14:33:00,740.0,SELL,1813.53,1813.53,0.27545166263125553,0.0,0.0,7.304330781573714,21.912992344721143,Opposite Signal,RSI_MFI,2025-04
2025-04-27 14:33:00,2025-04-28 00:07:00,574.0,BUY,1796.97,1780.87,0.27799009094846366,-4.4756404642703025,-0.8959526313739314,3.8932095252196004,11.679628575658802,Stop Loss,RSI_MFI,2025-04
2025-04-29 13:32:00,2025-04-30 00:50:00,678.0,SELL,1816.59,1816.59,0.2748644832947706,0.0,0.0,6.28696158317717,18.86088474953151,Opposite Signal,RSI_MFI,2025-04
2025-04-30 00:50:00,2025-04-30 12:36:00,706.0,BUY,1803.9,1783.35,0.2767980884242182,-5.688200717117734,-1.1391984034591816,5.386352401691119,16.159057205073356,Stop Loss,RSI_MFI,2025-04
2025-05-01 20:18:00,2025-05-02 00:44:00,266.0,SELL,1844.94,1844.94,0.27048666171940083,0.0,0.0,4.583315336836734,13.749946010510204,Opposite Signal,RSI_MFI,2025-05
2025-05-02 00:44:00,2025-05-02 07:09:00,385.0,BUY,1842.41,1821.31,0.27085809438322167,-5.715105791486014,-1.1452391161576487,4.756823396462919,14.270470189388758,Stop Loss,RSI_MFI,2025-05
2025-05-02 15:41:00,2025-05-02 16:04:00,23.0,SELL,1839.97,1868.65,0.2710619773056176,-7.77405750912513,-1.558721066104342,6.182883043044506,18.54864912913352,Stop Loss,RSI_MFI,2025-05
2025-05-02 16:34:00,2025-05-02 22:30:00,356.0,BUY,1855.56,1855.56,0.2685750951236074,0.0,0.0,7.455053775422093,22.36516132626628,Opposite Signal,RSI_MFI,2025-05
2025-05-02 22:30:00,2025-05-05 01:31:00,3061.0,SELL,1836.53,1784.76,0.2713580521459279,14.048206359594682,2.8189030399721204,4.1389293940635605,12.416788182190682,Take Profit,RSI_MFI,2025-05
2025-05-05 06:14:00,2025-05-05 11:03:00,289.0,BUY,1811.39,1811.39,0.275511962540116,0.0,0.0,4.930823817982346,14.792471453947037,Opposite Signal,RSI_MFI,2025-05
2025-05-05 11:03:00,2025-05-05 22:41:00,698.0,SELL,1807.52,1828.71,0.27610184884567845,-5.850598177039942,-1.172324510932109,5.84165247713739,17.52495743141217,Stop Loss,RSI_MFI,2025-05
2025-05-05 22:56:00,2025-05-06 01:38:00,162.0,BUY,1825.09,1806.38,0.27328355528587017,-5.1131353193985785,-1.0251549238667577,4.917860554969082,14.753581664907248,Stop Loss,RSI_MFI,2025-05
2025-05-06 08:34:00,2025-05-06 18:58:00,624.0,SELL,1797.14,1788.48,0.27739153719282794,2.4022107120899125,0.48187675974048105,5.088941923878423,15.266825771635267,Stop Loss,RSI_MFI,2025-05
