timestamp,symbol,side,order_type,qty,entry_price,actual_entry,stop_loss,take_profit,risk_reward,trailing_pct,risk_usdt,reward_usdt,net_risk,net_reward,net_rr,balance,position_size_pct,atr,mode
2025-07-27T13:49:19.706494,ETH/USDT,Buy,Market,1.45,3809.01,3809.09,3793.8536400000003,3839.5627200000004,2.0,0.4294141672358063,22.09225800000033,44.18451600000001,28.19126299288608,38.04905878141426,1.3496755640574083,111111.92245065,5.0,16.356428571428587,Demo
2025-07-27T14:17:12.479197,SOL/USDT,Buy,Market,20.7,187.11,187.12,186.37152,188.61696,2.0,0.6,15.492707999999752,30.98541600000009,19.76213315032547,26.69042788147437,1.3505843563772766,111115.48414872,3.5000000000000004,0.7050000000000003,Demo
2025-07-27T14:28:55.971669,ZORA/USDT,Buy,Market,15280,0.076316,0.076309,0.076003764,0.076919472,2.0,2.5,4.664433919999993,9.328867839999987,5.945110724564431,8.04049471946755,1.3524549990709611,111103.22452125,1.0499999999999998,0.0020557142857142857,Demo
2025-07-27T14:29:24.452518,ZORA/USDT,Buy,Market,15350,0.075985,0.076009,0.075704964,0.076617072,2.0,5.0,4.665479000000039,9.330958000000077,5.946086088545439,8.042652871104677,1.3525961029387166,111097.238268,1.0499999999999998,0.0020557142857142857,Demo
2025-07-27T14:34:25.933122,ZORA/USDT,Buy,Market,15460,0.075443,0.07536,0.07505856,0.07596288,2.0,5.0,4.665395120000088,9.330790239999962,5.945949334348486,8.042538123703563,1.3526079136334932,111092.65642116,1.0499999999999998,0.0019533571428571425,Demo
2025-07-27T14:36:16.300050,ZORA/USDT,Buy,Market,15730,0.074128,0.074161,0.073864356,0.07564422000000001,5.0,5.0,4.664133759999981,23.32066880000012,5.94461532948665,22.02479558910545,3.7049992923608417,111086.30675798,1.0499999999999998,0.002053785714285714,Demo
2025-07-27T14:36:46.532792,ZORA/USDT,Buy,Market,15760,0.073998,0.073985,0.07368906,0.0754647,5.0,2.77546111284861,4.66483391999992,23.324169600000037,5.945245082549691,22.028364485514263,3.7052071327002603,111080.24426024,1.0499999999999998,0.002053785714285714,Demo
2025-07-27T14:37:13.639947,ZORA/USDT,Buy,Market,15730,0.074137,0.074143,0.07340157,0.07785015,5.0,2.7702573806408597,11.66175010000008,58.30875049999996,12.938309969887614,56.993706854782424,4.40503489152977,111079.98549286,1.0499999999999998,0.002053785714285714,Demo
2025-07-27T14:39:21.638461,ZORA/USDT,Buy,Market,15820,0.07372,0.073788,0.070762692,0.078289068,1.4878048780487807,3.0,47.81626640000001,71.14127440000003,49.07287580721036,69.81923834534967,1.4227663897189213,111074.31634029,1.0499999999999998,0.002105785714285715,Demo
2025-07-27T15:44:26.899430,ZORA/USDT,Sell,Market,14280,0.081711,0.081517,0.084859197,0.07654446300000001,1.4878048780487807,1.5,47.84015627999994,71.17681788000002,49.150737021196356,69.9316964745916,1.422800566437761,111192.09136298,1.0499999999999998,0.002277000000000002,Demo
2025-07-27T15:48:23.318580,ZORA/USDT,Buy,Market,14050,0.083075,0.083126,0.079717834,0.088196686,1.4878048780487807,3.0,47.85535375000012,71.19942874999987,49.113350870802066,69.87595149882291,1.422748606232124,111196.32600558,1.0499999999999998,0.0024566428571428595,Demo
2025-07-27T16:13:01.274281,ZORA/USDT,Sell,Market,9640,0.08643,0.086659,0.08795888499999999,0.08405923,2.0,3.0,12.49777799999991,24.995556000000086,13.421983436900122,24.091971896799873,1.794963613989084,111191.71624245,0.75,0.0027600714285714303,Demo
2025-07-27T16:18:21.447293,ZORA/USDT,Buy,Market,9480,0.087922,0.087932,0.084326788,0.09329585199999998,1.4878048780487807,3.0,34.17352296000004,50.843534159999905,35.07194616497544,49.89835157360851,1.422742591440205,111178.01728526,0.75,0.0028658571428571453,Demo
